agenda_item_id,agenda_item_title,matched_address_keys,confidence,subject_matter_number,subject_matter_particulars,registrant_type,registrant_name,beneficiary_names,beneficiary_types
2024.NY13.3,"824 Sheppard Avenue West, 177, 179 and 181 Cocksfield Avenue - Zoning Amendment  and Rental Housing Demolition and Conversion Application - Decision Report - Approval",824 sheppard,street_type_matched,SM30117,"Rezoning and Site Plan for 824 Sheppard Avenue West, Toronto, Ontario",In-house,Basem Hanna,,
2024.TE13.8,1400 Gerrard Street East - Zoning By-law Amendment Application - Decision Report - Approval,1400 gerrard,street_type_matched,SM32846,Various potential development sites. 1400 Gerrard St E.,In-house,James Burton,,
2024.TE13.8,1400 Gerrard Street East - Zoning By-law Amendment Application - Decision Report - Approval,1400 gerrard,street_type_matched,SM33146,Planning issues related to a development application at 1400 Gerrard St East,Consultant,Joe Mihevc,Percy Ellis,Client
2024.TE13.8,1400 Gerrard Street East - Zoning By-law Amendment Application - Decision Report - Approval,1400 gerrard,street_type_matched,SM34629,Zoning by-law amendment and Site Plan Approval application for the proposed redevelopment located at 1400 Gerrard Street East.,Consultant,Mike Dror,Percy Ellis,Client
2024.TE13.6,1095 and 1111 Danforth Avenue - Zoning By-law Amendment Application - Decision Report - Approval,1111 danforth,street_type_matched,SM32923,Lobbying on behalf of proposed development application at 1095-1111 Danforth Avenue,Consultant,Amir Remtulla,1095- 1111 Danforth Project GP Inc.; Core Development Group Ltd.,Client; Parent company
2024.TE13.6,1095 and 1111 Danforth Avenue - Zoning By-law Amendment Application - Decision Report - Approval,1111 danforth,street_type_matched,SM32914,Planning application for 1095-1111 Danforth Avenue,In-house,Andre Robichaud,,
2024.EY14.2,1911 Finch Avenue West (Jane Finch Mall) - Official Plan Amendment and Zoning Amendment Applications - Decision Report - Approval,1911 finch,street_type_matched,SM36924,"Redevelopment of 1911 Finch Avenue West, Toronto",Consultant,Aidan Grove-White,Hullmark Asset Management; Brad-Jay Investments Ltd.,Client; Other
2024.EY14.2,1911 Finch Avenue West (Jane Finch Mall) - Official Plan Amendment and Zoning Amendment Applications - Decision Report - Approval,1911 finch,street_type_matched,SM36925,"Redevelopment of 1911 Finch Avenue West, Toronto",Consultant,Richard Ositashvili,Hullmark Asset Management; Brad-Jay Investments Ltd.,Client; Other
2024.EY14.2,1911 Finch Avenue West (Jane Finch Mall) - Official Plan Amendment and Zoning Amendment Applications - Decision Report - Approval,1911 finch,street_type_matched,SM27894,"Meeting to raise our interest in exploring the potential for the redevelopment of a site at 1911 Finch Avenue West. 

Client: Southdown Builders Ltd.",Consultant,Craig Lametti,Southdown Builders,Client
2024.EY14.2,1911 Finch Avenue West (Jane Finch Mall) - Official Plan Amendment and Zoning Amendment Applications - Decision Report - Approval,1911 finch,street_type_matched,SM29860,"1911 Finch Avenue West
Toronto, Ontario
M3N 2V2",Consultant,Greg Spearn,Brad-Jay Investments Ltd.,Client
2024.EY14.2,1911 Finch Avenue West (Jane Finch Mall) - Official Plan Amendment and Zoning Amendment Applications - Decision Report - Approval,1911 finch,street_type_matched,SM33353,Meeting to provide an update on the process and plan to develop a concept and OPA/ZBA for a site at 1911 Finch Avenue West.,Consultant,Craig Lametti,Southdown Builders Ltd.,Client
2024.TE14.16,135 Roxborough Drive - Alterations to a Designated Heritage Property in the North Rosedale Heritage Conservation District,135 roxborough,street_type_matched,SM35576,"135 Roxborough Drive, Toronto",Consultant,Amir Remtulla,Tessa Virtue and Morgan Rielly,Client
2024.CC19.12,"300 Borough Drive, 1755 Brimley Road, 400 to 580 Progress Avenue and 350 Town Centre Court - Ontario Land Tribunal Hearing - Request for Directions",300 borough; 580 progress,street_type_matched,SM30515,"Master Planning and future development of 300 Borough Drive, 400-580 Progress Avenue",In-house,Eric Plesman,,
2024.NY15.4,1875 Steeles Avenue West - Zoning By-law Amendment and Rental Housing Demolition and Conversion Applications - Decision Report - Approval,1875 steeles,street_type_matched,SM37128,1875 Steeles Ave. W. MZO & OPLDF,In-house,Stephen Job,,
2024.NY15.4,1875 Steeles Avenue West - Zoning By-law Amendment and Rental Housing Demolition and Conversion Applications - Decision Report - Approval,1875 steeles,street_type_matched,SM35979,Seeking support to collaborate with government and neighbours on land use compatibility at 1875 Steeles Ave West.,Consultant,Richard Ositashvili,Tenblock Developments Inc.; Microbjo Properties Inc.,Client; Other
2024.NY15.4,1875 Steeles Avenue West - Zoning By-law Amendment and Rental Housing Demolition and Conversion Applications - Decision Report - Approval,1875 steeles,street_type_matched,SM35980,Seeking support to collaborate with government and neighbours on land use compatibility at 1875 Steeles Ave West.,Consultant,Aidan Grove-White,Tenblock Developments Inc.; Microbjo Properties Inc.,Client; Other
2024.NY15.4,1875 Steeles Avenue West - Zoning By-law Amendment and Rental Housing Demolition and Conversion Applications - Decision Report - Approval,1875 steeles,street_type_matched,SM37284,Refusal of Zoning By-law Amendment Application at North York Community Council and proposed MZO on adjacent lands at 1875 Steeles Avenue West.,Consultant,Aidan Grove-White,Dufferin & Steeles Corporation; First Capital Realty Inc.,Client; Parent company
2024.NY15.4,1875 Steeles Avenue West - Zoning By-law Amendment and Rental Housing Demolition and Conversion Applications - Decision Report - Approval,1875 steeles,street_type_matched,SM37285,Refusal of Zoning By-law Amendment Application at North York Community Council and proposed MZO on adjacent lands at 1875 Steeles Avenue West.,Consultant,Fraser Macdonald,Dufferin & Steeles Corporation; First Capital Realty Inc.,Client; Parent company
2024.NY15.4,1875 Steeles Avenue West - Zoning By-law Amendment and Rental Housing Demolition and Conversion Applications - Decision Report - Approval,1875 steeles,street_type_matched,SM37283,Refusal of Zoning By-law Amendment Application at North York Community Council and proposed MZO on adjacent lands at 1875 Steeles Avenue West.,Consultant,Richard Ositashvili,Dufferin & Steeles Corporation; First Capital Realty Inc.,Client; Parent company
2024.NY15.4,1875 Steeles Avenue West - Zoning By-law Amendment and Rental Housing Demolition and Conversion Applications - Decision Report - Approval,1875 steeles,street_type_matched,SM35773,Refusal of Zoning By-law Amendment Application at North York Community Council on adjacent lands at 1875 Steeles Avenue West.,Consultant,Richard Ositashvili,Dufferin & Steeles Corporation; First Capital Realty Inc.,Client; Parent company
2024.NY15.4,1875 Steeles Avenue West - Zoning By-law Amendment and Rental Housing Demolition and Conversion Applications - Decision Report - Approval,1875 steeles,street_type_matched,SM35533,"Development of policy/permission framework to allow for deep-ground geothermal assets to be located under parks. Applicable to 25 St Mary St, 48 Grenoble Dr, 1875 Steeles Ave W, 5 Capri Dr, and 145 St George St",Consultant,Tristan Downe-Dewdney,Tenblock Developments; 145 St. George Company Partnership; 155 Antibes Developments Inc.; Capri Holdings Limited Co-Tenancy; Microbjo Properties Inc.; 25 St. Mary Developments Inc.,Client; Other; Other; Other; Other; Other
2024.NY15.4,1875 Steeles Avenue West - Zoning By-law Amendment and Rental Housing Demolition and Conversion Applications - Decision Report - Approval,1875 steeles,street_type_matched,SM30359,1875 Steeles Avenue West,In-house,Stephen Job,,
2024.NY15.4,1875 Steeles Avenue West - Zoning By-law Amendment and Rental Housing Demolition and Conversion Applications - Decision Report - Approval,1875 steeles,street_type_matched,SM35248,1875 Steeles Avenue West,Consultant,Tristan Downe-Dewdney,Tenblock Developments Inc.,Client
2024.NY15.4,1875 Steeles Avenue West - Zoning By-law Amendment and Rental Housing Demolition and Conversion Applications - Decision Report - Approval,1875 steeles,street_type_matched,SM37076,1875 Steeles Ave. W. MZO & OPLDF,Consultant,Tristan Downe-Dewdney,Tenblock Developments Inc.; Microbjo Properties Inc.,Client; Other
2024.NY15.4,1875 Steeles Avenue West - Zoning By-law Amendment and Rental Housing Demolition and Conversion Applications - Decision Report - Approval,1875 steeles,street_type_matched,SM35753,Refusal of Zoning By-law Amendment Application at North York Community Council on adjacent lands at 1875 Steeles Avenue West.,Consultant,Aidan Grove-White,Dufferin & Steeles Corporation; First Capital Realty Inc.,Client; Parent company
2024.NY15.4,1875 Steeles Avenue West - Zoning By-law Amendment and Rental Housing Demolition and Conversion Applications - Decision Report - Approval,1875 steeles,street_type_matched,SM36331,1875 Steeles Avenue West,In-house,Stephen Job,,
2024.CC20.19,"1053 Don Mills Road, 2, 4, 4R, and 6 The Donway East Zoning By-law Amendment - Request for Direction Report",1053 donmills,street_type_matched,SM34126,"2,4,6 the Donway East and 1053 Don Mills Road - Proposed Redevelopment",In-house,Ornella Richichi,,
2024.CC20.19,"1053 Don Mills Road, 2, 4, 4R, and 6 The Donway East Zoning By-law Amendment - Request for Direction Report",1053 donmills,street_type_matched,SM34197,"1053 Don Mills Road and 2,4, 4R and 6 The Donway East",Consultant,Amir Remtulla,The Don Way East Limited; Plaza Partners; The Donway Acquisition Limited Partnership,Client; Parent company; Parent company
2024.NY15.3,155 Antibes Drive - Zoning By-law Amendment Application - Decision Report - Approval,155 antibes,street_type_matched,SM32214,155 Antibes Drive redevelopment,Consultant,Peter Pantalone,155 Antibes Developments Inc.; Tenblock,Client; Other
2024.NY15.3,155 Antibes Drive - Zoning By-law Amendment Application - Decision Report - Approval,155 antibes,street_type_matched,SM30360,155 Antibes Drive,In-house,Stephen Job,,
2024.CC21.3,70-86 Lynn Williams Street - Zoning By-law Amendment Application- Ontario Land Tribunal Hearing - Request for Directions,86 lynnwilliams,street_type_matched,SM32854,Zoning By-law amendment and community engagement services for proposed redevelopment located at 86 Lynn Williams Street.,Consultant,Kate Cooper,Collecdev,Client
2024.CC21.3,70-86 Lynn Williams Street - Zoning By-law Amendment Application- Ontario Land Tribunal Hearing - Request for Directions,86 lynnwilliams,street_type_matched,SM32856,Zoning By-law amendment and community engagement services for proposed redevelopment located at 86 Lynn Williams Street.,Consultant,Charlie Smith,Collecdev,Client
2024.CC21.3,70-86 Lynn Williams Street - Zoning By-law Amendment Application- Ontario Land Tribunal Hearing - Request for Directions,86 lynnwilliams,street_type_matched,SM32855,Zoning By-law amendment and community engagement services for proposed redevelopment located at 86 Lynn Williams Street.,Consultant,Jocelyn Deeks,Collecdev,Client
2024.CC21.4,"4195 Dundas Street West and 556, 558, 560, 562 and 564 Prince Edward Drive North - Official Plan Amendment and Zoning By-law Amendment Applications - Ontario Land Tribunal Hearing - Request for Directions",4195 dundas,street_type_matched,SM23687,Rezoning application in support of redevelopment of 4195 Dundas St. W.,Consultant,Peter Smith,Dunpar Developments Inc.,Client
2024.CC21.4,"4195 Dundas Street West and 556, 558, 560, 562 and 564 Prince Edward Drive North - Official Plan Amendment and Zoning By-law Amendment Applications - Ontario Land Tribunal Hearing - Request for Directions",4195 dundas,street_type_matched,SM28522,"Development Application to redevelop commercial and residential properties forming part of 4195 Dundas Street West, for mixed use commercial residential purposes",Consultant,PETER MILCZYN,1136974 Ontario Inc,Client
2024.TE17.8,"985 Woodbine Avenue and 2078, 2086, 2100, 2102 and 2106 Danforth Avenue - Zoning By-law Amendment and Rental Housing Demolition Applications - Decision Report - Approval",985 woodbine,street_type_matched,SM35418,"985 Woodbine Ave, Toronto ON",Consultant,Amir Remtulla,Choice Properties Limited Partnership,Client
2024.TE17.8,"985 Woodbine Avenue and 2078, 2086, 2100, 2102 and 2106 Danforth Avenue - Zoning By-law Amendment and Rental Housing Demolition Applications - Decision Report - Approval",2106 danforth,street_type_matched,SM35419,2078-2106 Danforth Ave,Consultant,Amir Remtulla,Choice Properties Limited Partnership,Client
2024.TE17.8,"985 Woodbine Avenue and 2078, 2086, 2100, 2102 and 2106 Danforth Avenue - Zoning By-law Amendment and Rental Housing Demolition Applications - Decision Report - Approval",985 woodbine,street_type_matched,SM27882,Relating to 985 Woodbine Ave.,In-house,Niall Collins,,
2024.EY18.7,"220, 230 and 240 Lake Promenade and 21 and 31 Park Boulevard - Official Plan Amendment, Zoning By-law Amendment, and Draft Plan of Subdivision Applications - Appeal Report",21 park; 31 park,street_type_matched,SM23405,"Application for demolition of rental housing, and rezoning of land at municipal address known as 220, 230, and 240 Lake Promenade and 21 and 31 Park Blvd.",Consultant,Rob Davis,Compten Management Inc.,Client
2024.EY18.7,"220, 230 and 240 Lake Promenade and 21 and 31 Park Boulevard - Official Plan Amendment, Zoning By-law Amendment, and Draft Plan of Subdivision Applications - Appeal Report",31 park,street_type_matched,SM35573,"Applications supporting proposed site at 220, 230 & 240 Lake Promenade and 21 & 31 Park Boulevard.",Consultant,Hailey McWilliam,The Lake Promenade Co-Tenancy,Client
2024.EY18.7,"220, 230 and 240 Lake Promenade and 21 and 31 Park Boulevard - Official Plan Amendment, Zoning By-law Amendment, and Draft Plan of Subdivision Applications - Appeal Report",31 park,street_type_matched,SM34641,"Applications supporting proposed site at 220, 230 & 240 Lake Promenade and 21 & 31 Park Boulevard.",Consultant,David Huynh,The Lake Promenade Co-Tenancy,Client
2024.CC24.11,"1245 and 1285 Dupont Street, 1260 Dufferin Street, and 213 Emerson Avenue - Ontario Land Tribunal Hearing - Request for Directions",1245 dupont,street_type_matched,SM19884,"redevelopment interest in property at 1245 Dupont St., Toronto",In-house,John McGovern,,
2024.CC24.11,"1245 and 1285 Dupont Street, 1260 Dufferin Street, and 213 Emerson Avenue - Ontario Land Tribunal Hearing - Request for Directions",1245 dupont,street_type_matched,SM28557,To review parts of the Section 37 Agreement for 1245 Dupont Street (Galleria Mall).,Consultant,Scott Brasil,ELAD Canada,Client
2024.CC24.11,"1245 and 1285 Dupont Street, 1260 Dufferin Street, and 213 Emerson Avenue - Ontario Land Tribunal Hearing - Request for Directions",1245 dupont,street_type_matched,SM28466,Galleria Mall - 1245 Dupont Street,Consultant,Andrew Elliott,Elad Canada,Client
2024.CC24.11,"1245 and 1285 Dupont Street, 1260 Dufferin Street, and 213 Emerson Avenue - Ontario Land Tribunal Hearing - Request for Directions",1245 dupont,street_type_matched,SM28465,"Galleria Mall - 1245 Dupont Street, Toronto",Consultant,Calvin Lantz,Elad Canada,Client
2024.CC24.6,"4001 Steeles Avenue West, 5000 Jane Street and 360 Hullmar Drive - Ontario Land Tribunal Hearing - Request for Directions",360 hullmar; 4001 steeles; 5000 jane,street_type_matched,SM25685,"Discuss development approaches: 4001 STEELES AVE. W.
360 HULLMAR DR. / 5000 JANE ST.",In-house,Bud Purves,,
2024.CC24.12,33-51 Walsh Avenue and 2717-2745 Weston Road - Ontario Land Tribunal Hearing - Request for Directions,2745 weston; 51 walsh,street_type_matched,SM25684,"Discuss potential approaches: 33-51 WALSH AVE. / 2745 WESTON RD, 11-22 BLONDIN AVE",In-house,Bud Purves,,
2024.CC24.13,417-419 Burnhamthorpe Road - Ontario Land Tribunal Hearing - Request for Directions,419 burnhamthorpe,street_type_matched,SM32990,Planning Application for 417 & 419 Burnhamthorpe Road.,In-house,Justin Di Ciano,,
2025.PH18.16,"3100 Weston Road - Notice of Intention to Designate a Property under Part IV, Section 29 of the Ontario Heritage Act",3100 weston,street_type_matched,SM35209,Assist client with planning and development application at 3100 Weston Road,Consultant,Kyle Chamberlain,AvranceCorp Developments,Client
2025.PH18.16,"3100 Weston Road - Notice of Intention to Designate a Property under Part IV, Section 29 of the Ontario Heritage Act",3100 weston,street_type_matched,SM35146,Subdivision planning and condo development at 3100 Weston Rd Toronto Ontario M9M 2S7,Consultant,Jim Karygiannis,AvranceCorp Developments,Client
2025.PH18.16,"3100 Weston Road - Notice of Intention to Designate a Property under Part IV, Section 29 of the Ontario Heritage Act",3100 weston,street_type_matched,SM35061,"Address of the property: 3100 Weston Road, North York.",In-house,Samuel Babs,,
2025.SC20.1,2759 and 2761 to 2763 Kingston Road and 52 St Quentin Avenue - Official Plan and Zoning By-law Amendment Application - Decision Report - Approval,2763 kingston; 52 stquentin,street_type_matched,SM35519,Application review of 2759-2763 Kingston Road and 52 St. Quentin Avenue,In-house,mathew laing,,
2025.NY22.1,1 Broadlands Boulevard - Zoning By-law Amendment Application- Decision Report - Approval,1 broadlands,street_type_matched,SM36005,1 Broadlands Boulevard (24 164540 NNY 16 OZ),Consultant,Christian Chan,12723638 Canada Ltd.; 10285773 Canada Corp,Client; Other
2025.PH20.4,1 Dundas Street East: Amendments to the Sign By-law,1 dundas,street_type_matched,SM23424,Operational issues relating to openings of Toronto stores including Eaton Centre store at 1 Dundas Street West,In-house,Todd Buntin,,
2025.TE21.4,"158 Sterling Road (Blocks 5B, 5C and 5D) and 190 Sterling Road (Block 3B) - Official Plan and Zoning By-law Amendment Applications - Decision Report - Approval",158 sterling,street_type_matched,SM37702,"Matters relating to the development of the property municipally identified as 150, 158, 164, 181 and 200 Sterling Road and 20 Perth Avenue",Consultant,Brett Noiles,HC Lower JCT Holdings LP; HC Lower JCT GP Ltd,Client; Other
2025.TE21.4,"158 Sterling Road (Blocks 5B, 5C and 5D) and 190 Sterling Road (Block 3B) - Official Plan and Zoning By-law Amendment Applications - Decision Report - Approval",158 sterling,street_type_matched,SM17405,Proposed Redevelopment of 158 Sterling Road,Consultant,Jamie Besner,Castlepoint Studio Partners,Client
2025.TE21.4,"158 Sterling Road (Blocks 5B, 5C and 5D) and 190 Sterling Road (Block 3B) - Official Plan and Zoning By-law Amendment Applications - Decision Report - Approval",158 sterling,street_type_matched,SM18013,"Application to develop 158, 164, 181 and 200 Sterling road and change the lands from employment use to mixed-use.",Consultant,Erika Mozes,Nestle Canada Inc,Client
2025.TE21.4,"158 Sterling Road (Blocks 5B, 5C and 5D) and 190 Sterling Road (Block 3B) - Official Plan and Zoning By-law Amendment Applications - Decision Report - Approval",158 sterling,street_type_matched,SM18668,Proposed redevelopment of 158 Sterling Road,Consultant,Vic Gupta,Castlepoint Studio Partners,Client
2025.TE21.4,"158 Sterling Road (Blocks 5B, 5C and 5D) and 190 Sterling Road (Block 3B) - Official Plan and Zoning By-law Amendment Applications - Decision Report - Approval",158 sterling,street_type_matched,SM18077,"Application to develop 158, 164, 181 and 200 Sterling Road and change the lands from employment use to mixed-use",Consultant,Jordan Benadiba,Nestle Canada Inc,Client
2025.TE21.4,"158 Sterling Road (Blocks 5B, 5C and 5D) and 190 Sterling Road (Block 3B) - Official Plan and Zoning By-law Amendment Applications - Decision Report - Approval",158 sterling,street_type_matched,SM18571,"158 Sterling Road, Toronto, ON",In-house,Ken Lewenza,,
2025.TE21.4,"158 Sterling Road (Blocks 5B, 5C and 5D) and 190 Sterling Road (Block 3B) - Official Plan and Zoning By-law Amendment Applications - Decision Report - Approval",158 sterling,street_type_matched,SM16444,"158 Sterling Road application to be made to City of Toronto for employment uses and limited residential uses.
To discuss with councillors proposed application and advise clients views re proposed employment lands study in Ward 18",Consultant,Alan Heisey,Castlepoint Studio Properties Limited,Client
2025.TE21.4,"158 Sterling Road (Blocks 5B, 5C and 5D) and 190 Sterling Road (Block 3B) - Official Plan and Zoning By-law Amendment Applications - Decision Report - Approval",158 sterling,street_type_matched,SM18072,"Application to develop 158, 164, 181 and 200 Sterling road and change the lands from employment use to mixed-use.",In-house,Catherine O'Brien,,
2025.TE21.4,"158 Sterling Road (Blocks 5B, 5C and 5D) and 190 Sterling Road (Block 3B) - Official Plan and Zoning By-law Amendment Applications - Decision Report - Approval",158 sterling,street_type_matched,SM17739,"Environmental remediation at 158 Sterling Road, installation of remedial solutions, city owned/adopted property.",In-house,Fraser Thomson,,
2025.TE21.4,"158 Sterling Road (Blocks 5B, 5C and 5D) and 190 Sterling Road (Block 3B) - Official Plan and Zoning By-law Amendment Applications - Decision Report - Approval",158 sterling,street_type_matched,SM19677,"158, 164, 181 and 200 Sterling Road, Toronto",Consultant,Barry Horosko,ROI Capital,Client
2025.TE21.4,"158 Sterling Road (Blocks 5B, 5C and 5D) and 190 Sterling Road (Block 3B) - Official Plan and Zoning By-law Amendment Applications - Decision Report - Approval",158 sterling,street_type_matched,SM16075,Proposed redevelopment of 158 Sterling Road.,Consultant,Kim Wright,Castlepoint Studio Partners,Client
2025.TE21.4,"158 Sterling Road (Blocks 5B, 5C and 5D) and 190 Sterling Road (Block 3B) - Official Plan and Zoning By-law Amendment Applications - Decision Report - Approval",158 sterling,street_type_matched,SM29040,"Matters relating to the development of the property municipally identified as 150, 158, 164, 181 and 200 Sterling Road and 20 Perth Avenue",Consultant,Joseph Noon,HC Lower JCT Holdings LP; HC Lower JCT GP Ltd.,Client; Other
2025.TE21.4,"158 Sterling Road (Blocks 5B, 5C and 5D) and 190 Sterling Road (Block 3B) - Official Plan and Zoning By-law Amendment Applications - Decision Report - Approval",158 sterling,street_type_matched,SM30716,"Environmental remediation at 158 Sterling Road, installation of remedial solutions, city owned/adopted property",In-house,David Leclerc,,
2025.TE21.4,"158 Sterling Road (Blocks 5B, 5C and 5D) and 190 Sterling Road (Block 3B) - Official Plan and Zoning By-law Amendment Applications - Decision Report - Approval",158 sterling,street_type_matched,SM24623,"158, 164, 181 and 200 Sterling Road",Consultant,Eileen Costello,Castlepoint Greybrook Sterling Inc.,Client
2025.TE21.4,"158 Sterling Road (Blocks 5B, 5C and 5D) and 190 Sterling Road (Block 3B) - Official Plan and Zoning By-law Amendment Applications - Decision Report - Approval",158 sterling,street_type_matched,SM27464,"Matters relating to the development of the property municipally identified  as 150, 158, 164, 181 and 200 Sterling Road and 20 Perth Avenue",Consultant,Alexandra Khazzam,HC Lower JCT Holdings LP; HC Lower JCT GP Ltd.,Client; Other
2025.TE21.4,"158 Sterling Road (Blocks 5B, 5C and 5D) and 190 Sterling Road (Block 3B) - Official Plan and Zoning By-law Amendment Applications - Decision Report - Approval",158 sterling,street_type_matched,SM24465,Proposed Redevelopment of 158 Sterling Road,Consultant,Angela Drennan,Castlepoint Studio Partners,Client
2025.TE21.4,"158 Sterling Road (Blocks 5B, 5C and 5D) and 190 Sterling Road (Block 3B) - Official Plan and Zoning By-law Amendment Applications - Decision Report - Approval",158 sterling,street_type_matched,SM27492,"Matters relating to the development of the property municipally identified as 150, 158, 164, 181 and 200 Sterling Road and 20 Perth Avenue.",Consultant,Syl Apps,HC Lower JCT Holdings LP; HC Lower JCT GP Ltd.,Client; Other
2025.TE21.4,"158 Sterling Road (Blocks 5B, 5C and 5D) and 190 Sterling Road (Block 3B) - Official Plan and Zoning By-law Amendment Applications - Decision Report - Approval",158 sterling,street_type_matched,SM29038,"Matters relating to the development of the property municipally identified as 150, 158, 164, 181 and 200 Sterling Road and 20 Perth Avenue",Consultant,Brett Noiles,HC Lower JCT Holdings LP; HC Lower JCT GP Ltd,Client; Other
2025.SC23.1,"2823, 2825, 2827 and 2829 Eglinton Avenue East - Zoning By-law Amendment - Decision Report - Approval",2829 eglinton,street_type_matched,SM33073,Rezoning application for mixed use mid rise development located at  2829 Eglinton Avenue East,Consultant,Gianni Ria,2872136 Ontario Inc,Client
2025.SC23.1,"2823, 2825, 2827 and 2829 Eglinton Avenue East - Zoning By-law Amendment - Decision Report - Approval",2829 eglinton,street_type_matched,SM33216,2829 Eglinton Avenue East - Community engagement services in connection with a Zoning By-law Amendment application and Site Plan Approval application.,Consultant,Peter Smith,Watermill Management Ltd.,Client
2025.SC23.1,"2823, 2825, 2827 and 2829 Eglinton Avenue East - Zoning By-law Amendment - Decision Report - Approval",2829 eglinton,street_type_matched,SM33053,Development Applications (Rezoning and Site Plan Approval) for 2829 Eglinton Ave East,Consultant,Kevin Wassermuhl,2872136 Ontario Inc.,Client
2025.EY23.1,3406-3434 Weston Road - Official Plan and Zoning By-law Amendment Application - Decision Report - Approval,3434 weston,street_type_matched,SM36654,The role is to support the application as it makes its way forward to Council approval.  The application has planning staff support.  The municipal address is 3434 Weston Rd.,Consultant,Joe Mihevc,Pinemount Developments,Client
2025.EY23.1,3406-3434 Weston Road - Official Plan and Zoning By-law Amendment Application - Decision Report - Approval,3434 weston,street_type_matched,SM35225,Planning Approval for forthcoming Zoning By-law Amendment application at 3434 Weston Road.,In-house,Eli Turkienicz,,
2025.CC32.20,"220, 230 and 240 Lake Promenade and 21 and 31 Park Boulevard - Ontario Land Tribunal Hearing - Request for Directions",21 park; 31 park,street_type_matched,SM23405,"Application for demolition of rental housing, and rezoning of land at municipal address known as 220, 230, and 240 Lake Promenade and 21 and 31 Park Blvd.",Consultant,Rob Davis,Compten Management Inc.,Client
2025.CC32.20,"220, 230 and 240 Lake Promenade and 21 and 31 Park Boulevard - Ontario Land Tribunal Hearing - Request for Directions",31 park,street_type_matched,SM35573,"Applications supporting proposed site at 220, 230 & 240 Lake Promenade and 21 & 31 Park Boulevard.",Consultant,Hailey McWilliam,The Lake Promenade Co-Tenancy,Client
2025.CC32.20,"220, 230 and 240 Lake Promenade and 21 and 31 Park Boulevard - Ontario Land Tribunal Hearing - Request for Directions",31 park,street_type_matched,SM34641,"Applications supporting proposed site at 220, 230 & 240 Lake Promenade and 21 & 31 Park Boulevard.",Consultant,David Huynh,The Lake Promenade Co-Tenancy,Client
2025.MM32.44,"250 Wincott Drive - Request for City Solicitor to Attend at the Ontario Land Tribunal - by Councillor Stephen Holyday, seconded by Councillor Parthi Kandavel",250 wincott,street_type_matched,SM36644,"For 250 Wincott Drive (Richview Square), Zoning By-Law amendment application.",Consultant,Ryan Doherty,Trinity Development Group Inc.,Client
2025.MM32.44,"250 Wincott Drive - Request for City Solicitor to Attend at the Ontario Land Tribunal - by Councillor Stephen Holyday, seconded by Councillor Parthi Kandavel",250 wincott,street_type_matched,SM31594,"Zoning By-law Amendment Application (Application 23 101352 WET 02 OZ)
250 Wincott Drive and 4620 Eglinton Avenue West",In-house,Fred Waks,,
2025.MM32.44,"250 Wincott Drive - Request for City Solicitor to Attend at the Ontario Land Tribunal - by Councillor Stephen Holyday, seconded by Councillor Parthi Kandavel",250 wincott,street_type_matched,SM22096,"250 Wincott Drive, Etobicoke",In-house,Mathew Laing,,
2025.MM32.44,"250 Wincott Drive - Request for City Solicitor to Attend at the Ontario Land Tribunal - by Councillor Stephen Holyday, seconded by Councillor Parthi Kandavel",250 wincott,street_type_matched,SM22091,Planning opinion letters re: development of 250 Wincott Drive.,Consultant,Peter Smith,Trinity Development Group,Client
2025.MM32.44,"250 Wincott Drive - Request for City Solicitor to Attend at the Ontario Land Tribunal - by Councillor Stephen Holyday, seconded by Councillor Parthi Kandavel",250 wincott,street_type_matched,SM22981,Internal Planning Opinion letter between Bousfields & client re the redevelopment of 250 Wincott Dr. (Richview Square)with eventual ZBA application,Consultant,Peter Smith,Trinity Development Group Inc.,Client
2025.CC34.4,2 Tippett Road - Ontario Land Tribunal Hearing - Request for Directions,2 tippett,street_type_matched,SM36543,2 Tippett Road - Official Plan and Zoning By-Law Amendment application.,Consultant,Peter Smith,Urban Capital (Tippett) Inc.,Client
2026.SC28.1,1212 to 1238 Kingston Road - Zoning By-law Amendment - Decision Report - Approval,1238 kingston,street_type_matched,SM37286,"1212-1238 Kingston Road and 155, 159 Fallingbrook Road - Rezoning and Rental Housing Demolition Application to permit a 10-storey residential/mixed-use building on this site.",Consultant,David Morse,The Sud Group,Client
2026.SC28.1,1212 to 1238 Kingston Road - Zoning By-law Amendment - Decision Report - Approval,1238 kingston,street_type_matched,SM37287,"1212-1238 Kingston Road and 155 and 159 Fallingbrook Road, Rezoning and Rental Housing Demolition Application to permit a 10-storey residential/mixed-use building on this site.",Consultant,Simran Bhatti,The Sud Group,Client
2026.EY29.2,2256 Lake Shore Boulevard West - Official Plan Amendment and Zoning By-law Amendment Application - Decision Report - Approval,2256 lakeshore,street_type_matched,SM23307,2256 Lake Shore Blvd West,In-house,Bernard Filice,,
2026.CC39.10,895 Lawrence Avenue East - Ontario Land Tribunal Hearing - Request for Directions,895 lawrence,street_type_matched,SM34117,Planning applications associated with the redevelopment of 895 Lawrence Avenue E.,Consultant,Aidan Grove-White,First Capital Realty Inc.; FCHT Holdings (Ontario) Corporation,Client; Subsidiary company
